patient,clone,n_cells,cnv,epithelial_diff,basal_stem,EMT_invasion,cell_cycle,interferon_MHC,hypoxia_stress,class_k2,class_k3,class_k4
P1,P1_0,913,0.0125848101252313,0.9697883022978068,0.7563948413194254,-0.0919288364915109,-0.0286195987175163,0.2295936515655296,0.168573895744944,1,1,1
P10,P10_2,944,0.008060891071257,1.4820387161923287,0.620447163732348,-0.3662084252163354,-0.3417326702745037,0.5946211642682737,0.4936618407730137,1,1,2
P10,P10_3,850,0.0078446829364113,1.194397998184688,0.6813961612971391,-0.3496153854166782,-0.2236519804495055,0.6388143129588854,0.3791927313834432,1,1,2
P10,P10_4,108,0.0082919776984866,0.0990153630565704,1.7262537696145512,0.3821478782041581,-0.233943285971512,0.9874967180715116,0.9795592607581048,2,3,4
P2,P2_1,2272,0.0083064856756664,0.2087502139103664,1.701095420588192,-0.0400345515672749,0.0049783349039599,0.8705500320282711,0.276337037810295,2,2,3
P2,P2_2,1315,0.0089947133527885,1.56975735871087,0.95597586256952,-0.1742260420626895,0.0327969460318762,0.8763068325939841,0.3097842342530215,1,1,2
P4,P4_0,2463,0.0077800765595606,0.3163451827146866,1.4033034200796823,-0.1698415058775677,0.1142471207802775,0.6181982774432184,0.2893075642579785,2,2,3
P4,P4_2,1560,0.0084343796470181,-0.1116154735222554,1.5999414182489151,-0.1753606540454121,0.0666116321079378,1.2385491379425249,0.5673982127610689,2,2,3
P4,P4_3,582,0.0096248541260386,1.1309474304434926,0.9657944826691336,-0.2603446406352356,-0.156507271783729,1.161619206921921,0.4158755000027799,1,1,2
P4,P4_6,235,0.0109127258467428,1.9315092731206975,0.4371130617012731,-0.2479975245550592,-0.1274453046106277,0.2806144002638723,0.2269963379751706,1,1,1
P5,P5_1,754,0.010533161098649,1.480827685317326,0.9361383571177044,-0.1421499826413488,-0.0755656507245092,0.4435251079697433,0.5845248333084765,1,1,1
P5,P5_2,346,0.0068089138071929,0.6434606209308167,1.0622040005333409,-0.1455210326183165,-0.0202426547849016,0.5709756781275273,0.3730538024225283,1,1,1
P6,P6_1,1634,0.008298761924939,1.9568751173069292,0.6910217464340564,-0.1642182752857139,-0.341176325568643,0.8271711842942728,0.4538420467322935,1,1,2
P6,P6_2,1541,0.0072616885442096,1.354960616136201,0.968470908591046,-0.1153805666809724,-0.1894838488418669,0.873168671963588,0.3566510831573529,1,1,2
P6,P6_3,1064,0.006582495850054,0.4445030605008027,1.6148295347302728,-0.0686134330686906,-0.1522006534031595,0.92501247850242,0.3414540812029809,2,2,3
P7,P7_1,1189,0.00741394952901,0.5586478619337006,1.2283295773905007,-0.0930375519637268,-0.1436864690466324,1.0150885160478924,0.3570167336160934,2,2,3
P7,P7_2,860,0.0095948377019838,1.1113100823512083,1.0699216038974315,-0.1393867033875921,-0.2699878484752124,0.8578113539176337,0.4472044653455589,1,1,2
P7,P7_3,788,0.0109150078759068,0.0187563840977961,1.9836653625274627,-0.0359280109000884,-0.3001035016615025,0.9318390963054228,0.4518767590061863,2,2,3
P8,P8_1,1198,0.0108274185361607,0.4948585733632014,0.8929959644932101,-0.183093955244134,-0.1000907273873303,0.4853589298772776,0.5403700525284593,1,1,1
P8,P8_3,272,0.0086348251271962,1.05129984712776,1.3898848115274531,-0.099533074285737,-0.3747669243803757,0.8023168180502394,0.4659264590448754,1,1,2
P8,P8_4,246,0.0120988557566989,0.3312229322604229,0.711857975932185,-0.2445144642938864,0.051122148370819,0.866984122634034,0.3092284723189546,1,1,2
P9,P9_1,1649,0.0065868564149003,1.0046285896379572,1.059318432081073,-0.1025253126781682,-0.054799589008444,0.5275147298225974,0.39609698377601,1,1,1
P9,P9_2,1172,0.0088802134333082,1.3678643451617083,0.8313304596913044,-0.0756213540281702,0.0066175191433773,0.541135455667125,0.3525014436132054,1,1,1
P9,P9_3,1085,0.0075959709870863,0.1389725129801144,1.8981177630995232,-0.0170186140872562,0.0280076846243232,0.6268466197111836,0.3634782952997927,2,2,3
P9,P9_5,102,0.0106359429104373,0.288322976851288,1.614241499744502,0.1725739912508206,0.1524290306903039,0.8602964222668112,0.4707092343595771,2,2,3
