patient,clone,n_cells,adipocytic,prolif,mesench_stem,MDM2_amp_region,interferon_MHC,EMT,class_k2,class_k3
P1,P1_4,420,0.0425634487578793,0.0256230170556477,0.5946452410533315,1.390749755438358,-0.0638974129727908,0.992400802084064,2,3
P1,P1_7,68,0.7306080062307563,-0.0578759218138806,0.4287069116620456,-0.0868668969384595,1.7157554753387676,1.0168233989259738,1,1
P10,P10_0,507,0.0127021267726027,-0.0043787481563801,-0.0001338651693033,-0.1762865818064123,2.1188130703482178,0.0356592071578347,1,1
P10,P10_1,390,-0.3532262126319429,-0.0010900605641878,-0.0835659858058722,-0.4806240254885111,1.7461237381358417,-0.0409977680426377,1,1
P10,P10_2,387,-0.2481914955295436,0.0202862195512737,0.2681155819733532,1.4476017612326668,-0.0746605495671262,0.7780683756884986,2,3
P10,P10_4,207,0.2075258092335073,0.0162885506530314,0.0871057931823311,0.0043014439292576,1.0896018003563632,0.4634002621415732,1,1
P10,P10_6,37,-0.2052929492254515,-0.0551813747109593,0.1898058631470733,1.935083131790161,-0.009987916649415,0.2655582625930373,2,3
P11,P11_0,544,-0.1246069316844291,-0.0129071584398693,-0.1076091445227985,0.0232986312638968,0.4462950250401704,0.3778683106688892,1,1
P11,P11_1,356,-0.0678885760804017,-0.0188718410511588,0.5378529234618301,-0.0077946736546379,0.1406317150017119,0.8110598977978309,2,3
P11,P11_2,270,0.5307236921645978,-0.0164587516931839,-0.0022772382960934,-0.0367147639128897,0.90734250860918,0.4734882542645489,1,1
P11,P11_4,138,-0.0549777465949311,-0.0213605393706888,-0.1471030196342564,-0.0565543799123902,1.6803044569019412,0.3225963989409847,1,1
P12,P12_0,946,-0.0388954213749908,0.0025023071168593,0.3410236694923667,0.6673764889697276,0.078426327478768,0.766730744107833,2,3
P12,P12_1,785,0.0406773599231825,0.0067394314078009,-0.1257371305295616,-0.159783128961636,1.9553666045650555,0.0430775635409507,1,1
P12,P12_5,90,-0.0309683123782829,-0.0373388738499747,-0.2883333319028218,-0.3761300629509819,1.1064439999615705,0.6004609809451633,1,1
P15,P15_1,1118,-0.3352045318242617,-0.0055590973724264,-0.0357615988604284,0.1246990423888128,0.2942777174015967,1.1031406269549209,2,3
P15,P15_2,975,-0.031557476126842,-0.0189002081915863,0.1402594012431609,-0.064754446150095,0.4788596055275231,0.9809539691631732,2,3
P18,P18_4,266,0.2028543882979486,-0.0115913670965847,0.1198583693432628,0.7574833161891833,0.316857570901768,0.5496429843474161,2,3
P18,P18_10,64,-0.0047595374304801,0.0032907708519787,0.3259835656359792,0.9668001506026044,0.5237244494953162,1.033058644591564,2,3
P2,P2_2,323,-0.2968522770458331,-0.0144456866215626,0.3130696415605929,0.754941219405124,0.3404426817905054,0.7559616223208305,2,3
P2,P2_4,219,-0.0712729875709368,0.0264398573294077,0.1015689080164312,0.428494411931916,-0.1723459853728612,0.6392238463513565,2,3
P22,P22_0,2240,0.2985394676230382,-0.000219379164939,-0.0805713330517136,0.0014518330203635,0.2574664166411385,0.5342075103265899,1,1
P22,P22_3,298,0.5331413256452726,-0.0258217995725455,0.0734065593225956,0.4158258365344681,0.2616665432403818,0.4346920054497601,1,1
P23,P23_4,391,-0.0553680218928711,-0.0298636661493564,0.3001290438610386,1.6803537078485062,0.73275598774918,1.179424991236928,2,2
P23,P23_7,185,0.0257403681394216,-0.0711899962541219,0.5477866434263875,0.8607321866611101,0.8907310521662837,1.117388987221589,2,2
P24,P24_4,336,0.1627993999622644,0.0056681268076811,0.0661613233884175,-0.0625096862594641,1.1406264042534997,0.6157073803292143,1,1
P24,P24_5,218,0.0660497530009768,-0.0261816655331795,0.5033552045887764,1.4399732843743187,0.0629561885863269,1.2640369001222314,2,2
P24,P24_6,139,0.7568424534511795,-0.0238394932866954,0.6693798842104218,1.0598288719545452,0.5945605103446426,0.9046627846793304,2,2
P24,P24_8,72,-0.0285663362564863,-0.028748250901699,-0.048436019503408,-0.1338634152876006,1.2978369450569154,0.3432279379897647,1,1
P26,P26_0,2726,-0.0383081155922833,-0.0153055866493128,0.2353609778202376,1.1867031740853653,0.3271513709287446,0.6259480293871692,2,3
P26,P26_1,935,-0.0222175447738956,0.0471764427802603,0.0819226222293262,1.0782628394703175,0.4131592065612262,0.5516011619652869,2,3
P26,P26_2,582,-0.0921448437396739,0.0711479315404769,-0.0431866706769491,1.0994227423823577,0.1982156248095382,0.8991741432712115,2,3
P27,P27_0,691,-0.2949563862341817,-0.0166441393787022,0.0869155904870647,0.8977320881023305,0.5195196746388209,0.7660728149211643,2,3
P27,P27_2,448,-0.2111413236354433,-0.001779117363372,-0.0880205283792955,0.7506849690863774,0.5205280880501405,0.7274788530312833,2,3
P28,P28_2,426,-0.0776314260333729,0.0178777799416036,0.5292588790789456,1.4050867320375635,0.1744642071209043,0.7475198978997172,2,3
P28,P28_4,252,0.0933486934266393,0.002972027936152,0.0892460382079321,0.0240806245685569,1.0232667171434748,0.4696261012743389,1,1
P30,P30_0,720,0.091437899629275,0.0466821964689426,-0.1138452817576902,0.1065188551793495,1.819159108592404,0.5857922697861989,1,1
P30,P30_1,560,-0.2402372615489931,-0.0294322100547807,0.1266283277585392,0.8178649910518102,0.5285251303634474,0.9979933714298974,2,3
P30,P30_5,114,0.5880912746933469,-0.0516707465523167,0.0319301149649926,-0.454941920972707,1.7343534449108855,0.7178617786942868,1,1
P4,P4_0,1947,-0.1110596271330231,0.0069394108614801,0.0150535085726014,0.8953352588981498,0.2024001126794695,0.976181170556213,2,3
P4,P4_1,1814,0.0552408397173189,-0.0141072412474284,0.0197427977198948,0.4315585674639573,0.8565077327714821,0.7471393144219887,2,3
P4,P4_3,946,-0.1861308845111692,0.0203088607949383,0.0009747663289709,0.8945269244695062,0.229939485960722,1.0073930270670797,2,3
P4,P4_5,201,-0.1968982062795466,-0.0003685026619564,0.2333452200021722,0.8295951970833451,0.6848131647434202,0.9711733543612912,2,3
P5,P5_0,622,-0.4230588312681848,-0.0149930403681625,0.3913429079753409,0.0330960812927538,0.4302064619340828,1.0352859065003717,2,3
P5,P5_3,369,0.8446029976734515,0.0028667637243815,-0.1206329443008919,0.0821391293002661,1.415929754468852,0.5776459581225222,1,1
P6,P6_1,935,0.7435090160992056,0.0172642462830492,0.060992880932575,0.2652451496336926,1.5004752298803892,0.6674680272602143,1,1
P6,P6_3,825,0.0844626690057311,0.0097029135393373,-0.1233715670749394,-0.0259348611851545,1.947194563403274,0.2163740109761555,1,1
P6,P6_6,93,0.678964906829446,-0.0395238606968233,0.5012406471467787,0.6674000868527947,1.1443147868879378,0.9947671022722796,2,2
P7,P7_0,750,-0.1139506462780634,-0.0268950952927271,0.0869377761936187,1.0601047148100535,0.1466182616655031,0.3402420187187194,2,3
P7,P7_2,440,0.0669711510710644,-0.0016927729249,-0.0085270284468477,0.6669369397921995,0.5316081740395588,0.5572933354594491,2,3
P7,P7_5,137,0.0462537875894792,0.0234600838192188,-0.08588534475243,-0.0319196151468875,0.7395591315561837,0.1521238652284997,1,1
P7,P7_6,91,-0.1153887820287501,-0.0133963835435909,0.1244680546928238,0.888191735299079,0.836315279177257,0.935108718243274,2,3
P8,P8_1,679,-0.2018068497202591,-0.0212021784657757,0.1415076415223939,0.2153281104804607,0.6937238218038763,0.789823877393585,2,3
P8,P8_2,633,-0.1146199791138896,0.0011244714702663,0.2752844924472268,0.7912974926190605,0.7916979749256715,0.9048439168854724,2,3
P8,P8_3,347,0.0370823373082277,-0.0144425445314099,0.0722110570954314,0.3884348922690213,0.3593172220148568,0.542488456789286,2,3
P8,P8_5,314,-0.1646737451860859,-0.021981131734362,0.350588881954266,-0.1899876213250899,0.5395611450942964,0.8737135806660743,2,3
