patient,n_epi,n_ref,cnv_ratio,n_malig_clones
BRONCHO_11,204,2971,2.588,1
BRONCHO_58,497,2314,1.501,1
EBUS_06,1197,1106,3.425,2
EBUS_10,400,4743,2.261,1
EBUS_12,262,2849,3.022,2
EBUS_13,381,3166,2.779,1
EBUS_15,263,838,2.158,2
EBUS_19,228,1882,2.944,2
EBUS_28,4766,413,2.136,2
EBUS_51,1315,1958,1.834,2
EFFUSION_06,228,4585,2.846,1
LUNG_T18,1028,2677,2.227,3
LUNG_T19,316,4045,2.098,1
LUNG_T20,526,3495,2.074,1
LUNG_T25,226,4148,1.859,1
LUNG_T28,1228,3477,2.094,2
LUNG_T30,882,3212,1.534,2
LUNG_T31,272,5306,2.244,2
LUNG_T34,2486,794,1.237,0
NS_03,2720,270,3.411,3
NS_04,1234,670,2.446,3
NS_07,5112,618,2.379,3
NS_12,2815,367,2.727,3
NS_13,1363,3482,2.696,2
NS_17,1117,1292,2.215,2
NS_19,756,2544,3.204,1
