sample,condition,genome_bam
PD1_10_PRE,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_10_PRE.markdup.sorted.bam
PD1_11_PRE,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_11_PRE.markdup.sorted.bam
PD1_13_PRE,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_13_PRE.markdup.sorted.bam
PD1_16_PRE,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_16_PRE.markdup.sorted.bam
PD1_19_PRE,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_19_PRE.markdup.sorted.bam
PD1_23_PRE,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_23_PRE.markdup.sorted.bam
PD1_27_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_27_PRE.markdup.sorted.bam
PD1_35_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_35_PRE.markdup.sorted.bam
PD1_36_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_36_PRE.markdup.sorted.bam
PD1_45_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_45_PRE.markdup.sorted.bam
PD1_46_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_46_PRE.markdup.sorted.bam
PD1_50_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_50_PRE.markdup.sorted.bam
PD1_52_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_52_PRE.markdup.sorted.bam
PD1_54_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_54_PRE.markdup.sorted.bam
PD1_5_PRE,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_5_PRE.markdup.sorted.bam
PD1_9_PRE,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/PD1_9_PRE.markdup.sorted.bam
Pt18_Pre_E9024732-6,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt18_Pre_E9024732-6.markdup.sorted.bam
Pt29_Pre_AD497504-5,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt29_Pre_AD497504-5.markdup.sorted.bam
Pt31_Pre_AD453872-5,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt31_Pre_AD453872-5.markdup.sorted.bam
Pt34_Pre_AD466985-6,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt34_Pre_AD466985-6.markdup.sorted.bam
Pt44_Pre_AD467790-6,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt44_Pre_AD467790-6.markdup.sorted.bam
Pt66_Pre_AD667850-6,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt66_Pre_AD667850-6.markdup.sorted.bam
Pt67_Pre_AD506074-6,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt67_Pre_AD506074-6.markdup.sorted.bam
Pt72_Pre_AD793922-5,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt72_Pre_AD793922-5.markdup.sorted.bam
Pt92_Pre_AE134060-5,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt92_Pre_AE134060-5.markdup.sorted.bam
Pt94_Pre_AD732850-6,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/Pt94_Pre_AD732850-6.markdup.sorted.bam
ipiPD1_10_PRE,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_10_PRE.markdup.sorted.bam
ipiPD1_14_PRE,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_14_PRE.markdup.sorted.bam
ipiPD1_15_PRE,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_15_PRE.markdup.sorted.bam
ipiPD1_19_PRE,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_19_PRE.markdup.sorted.bam
ipiPD1_24_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_24_PRE.markdup.sorted.bam
ipiPD1_27_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_27_PRE.markdup.sorted.bam
ipiPD1_2_PRE,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_2_PRE.markdup.sorted.bam
ipiPD1_33_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_33_PRE.markdup.sorted.bam
ipiPD1_35_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_35_PRE.markdup.sorted.bam
ipiPD1_37_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_37_PRE.markdup.sorted.bam
ipiPD1_38_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_38_PRE.markdup.sorted.bam
ipiPD1_44_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_44_PRE.markdup.sorted.bam
ipiPD1_50_PRE,responder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_50_PRE.markdup.sorted.bam
ipiPD1_8_PRE,nonresponder,/Users/alex/OrchestratedBiosciences/evolutionary-rna-state/results/rnaseq_cohort/hisat2/ipiPD1_8_PRE.markdup.sorted.bam
