analysis,cohort,a,b,covars,n,rho,ci_lo,ci_hi,perm_p
raw_all_cohorts,pooled,SPLICE_NEOANTIGEN,FUSION_NEOANTIGEN,none,264,0.0474679519210525,-0.0655151866691063,0.1648901324119431,0.44677661169415295
raw_percohort,gide2019,SPLICE_NEOANTIGEN,FUSION_NEOANTIGEN,none,72,-0.08179907567301559,-0.29861883819624363,0.15700582640123664,0.5032483758120939
raw_percohort,hugo2016,SPLICE_NEOANTIGEN,FUSION_NEOANTIGEN,none,26,-0.25834982366905085,-0.6046272799937866,0.14947451301902276,0.191904047976012
raw_percohort,liu2019,SPLICE_NEOANTIGEN,FUSION_NEOANTIGEN,none,122,-0.05547239820858449,-0.23662409950321392,0.11852189442024444,0.5352323838080959
raw_percohort,riaz2017,SPLICE_NEOANTIGEN,FUSION_NEOANTIGEN,none,44,0.15965437532039795,-0.14223489185167568,0.417050140777286,0.3003498250874563
burden_adj_pooled,pooled(H/L/R),SPLICE_NEOANTIGEN,FUSION_NEOANTIGEN,TMB_NONSYNONYMOUS_log;MUTATION_COUNT_log;coh_liu2019;coh_riaz2017,192,-0.020046387677241782,-0.16908500348821862,0.12790284228652649,0.8000999500249875
burden_adj_percohort,hugo2016,SPLICE_NEOANTIGEN,FUSION_NEOANTIGEN,TMB_NONSYNONYMOUS_log;MUTATION_COUNT_log,26,-0.26537389443189097,-0.618788718234787,0.18416960183132325,0.17841079460269865
burden_adj_percohort,liu2019,SPLICE_NEOANTIGEN,FUSION_NEOANTIGEN,TMB_NONSYNONYMOUS_log;MUTATION_COUNT_log,122,-0.07100519228149567,-0.2589503399504276,0.09634831221756596,0.4287856071964018
burden_adj_percohort,riaz2017,SPLICE_NEOANTIGEN,FUSION_NEOANTIGEN,TMB_NONSYNONYMOUS_log;MUTATION_COUNT_log,44,0.15954023101258114,-0.13326121323661197,0.41926307244161465,0.30434782608695654
